"country","lat","lng"
"Afghanistan","33.93911","67.709953"
"Albania","41.1533","20.1683"
"Algeria","28.0339","1.6596"
"Andorra","42.5063","1.5218"
"Angola","-11.2027","17.8739"
"Antigua and Barbuda","17.0608","-61.7964"
"Argentina","-38.4161","-63.6167"
"Armenia","40.0691","45.0382"
"Aruba","12.521110","-69.968338"
"Australia","-26.745610","133.924812"
"Austria","47.5162","14.5501"
"Azerbaijan","40.1431","47.5769"
"Bahamas","25.025885","-78.035889"
"Bahrain","26.0275","50.55"
"Bangladesh","23.685","90.3563"
"Barbados","13.1939","-59.5432"
"Belarus","53.7098","27.9534"
"Belgium","50.503887","4.469936"
"Belize","17.1899","-88.4976"
"Benin","9.3077","2.3158"
"Bermuda","32.307800","-64.750504"
"Bhutan","27.5142","90.4336"
"Bolivia","-16.2902","-63.5887"
"Bosnia and Herzegovina","43.9159","17.6791"
"Botswana","-22.3285","24.6849"
"Brazil","-14.235004","-51.925282"
"Brunei","4.5353","114.7277"
"Bulgaria","42.7339","25.4858"
"Burkina Faso","12.2383","-1.5616"
"Burma","21.9162","95.956"
"Burundi","-3.3731","29.9189"
"Cabo Verde","16.5388","-23.0418"
"Cambodia","11.55","104.9167"
"Cameroon","3.848","11.5021"
"Canada","56.130367","-106.346771"
"Central African Republic","6.6111","20.9394"
"Chad","15.4542","18.7322"
"Chile","-40.647304","-72.801685"
"China","35.000074","104.999927"
"Colombia","2.889443","-73.783892"
"Comoros","-11.6455","43.3333"
"Congo","-3.940565","23.429484"
"Costa Rica","9.7489","-83.7534"
"Cote d'Ivoire","7.54","-5.5471"
"Croatia","45.1","15.2"
"Cuba","21.521757","-77.78116700000002"
"Cyprus","35.1264","33.4299"
"Czechia","49.8175","15.473"
"Denmark","55.606339","9.237057"
"Djibouti","11.8251","42.5903"
"Dominica","15.415","-61.371"
"Dominican Republic","18.7357","-70.1627"
"Ecuador","-1.8312","-78.1834"
"Egypt","26.820553000000004","30.802498"
"El Salvador","13.7942","-88.8965"
"Equatorial Guinea","1.6508","10.2679"
"Eritrea","15.1794","39.7823"
"Estonia","58.5953","25.0136"
"Eswatini","-26.5225","31.4659"
"Ethiopia","9.145","40.4897"
"Fiji","-17.7134","178.065"
"Finland","61.92411","25.748151"
"France","46.603354","1.888334"
"Gabon","-0.8037","11.6094"
"Gambia","13.4432","-15.3101"
"Georgia","42.3154","43.3569"
"Germany","51.08342","10.423447"
"Ghana","7.9465","-1.0232"
"Greece","39.0742","21.8243"
"Grenada","12.1165","-61.679"
"Guatemala","15.7835","-90.2308"
"Guinea","9.9456","-9.6966"
"Guinea-Bissau","11.8037","-15.1804"
"Guyana","4.860416000000002","-58.93018000000001"
"Haiti","18.9712","-72.2852"
"Hong Kong","22.279328","114.162813"
"Honduras","15.2","-86.2419"
"Hungary","47.1625","19.5033"
"Iceland","64.9631","-19.0208"
"India","22.351115","78.667743"
"Indonesia","-0.7893","113.9213"
"Iran","32.427908","53.68804599999999"
"Iraq","33.223191","43.679291"
"Ireland","53.1424","-7.6921"
"Israel","31.046051","34.851612"
"Italy","42.638426","12.674297"
"Jamaica","18.1096","-77.2975"
"Japan","36.574844 ","139.239418"
"Jordan","31.24","36.51"
"Kazakhstan","48.0196","66.9237"
"Kenya","-0.0236","37.9062"
"Kiribati","-3.3704","-168.734"
"Korea, South","35.90775700000001","127.766922"
"Kosovo","42.602636","20.902977"
"Kuwait","29.31166","47.481766"
"Kyrgyzstan","41.20438","74.766098"
"Laos","19.85627","102.495496"
"Latvia","56.8796","24.6032"
"Lebanon","33.8547","35.8623"
"Lesotho","-29.61","28.2336"
"Liberia","6.4280550000000005","-9.429499"
"Libya","26.3351","17.228331"
"Liechtenstein","47.14","9.55"
"Lithuania","55.1694","23.8813"
"Luxembourg","49.8153","6.1296"
"Madagascar","-18.766947","46.869107"
"Malawi","-13.2543","34.3015"
"Malaysia","4.210483999999999","101.975766"
"Maldives","3.2028","73.2207"
"Mali","17.570692","-3.996166000000001"
"Malta","35.9375","14.3754"
"Marshall Islands","7.1315","171.1845"
"Mauritania","21.0079","-10.9408"
"Mauritius","-20.348404","57.552152"
"Mexico","22.500049","-100.000037"
"Micronesia (country)","7.4256","150.5508"
"Moldova","47.4116","28.3699"
"Monaco","43.7333","7.4167"
"Mongolia","46.8625","103.8467"
"Montenegro","42.708678000000006","19.37439"
"Morocco","31.7917","-7.0926"
"Mozambique","-18.665695","35.529562"
"Myanmar","17.17505","95.999965"
"Namibia","-22.9576","18.4904"
"Nepal","28.1667","84.25"
"Netherlands","52.50017","5.748082"
"New Zealand","-41.500083","172.834408"
"Nicaragua","12.865416","-85.207229"
"Niger","17.607789","8.081666"
"Nigeria","9.082","8.6753"
"North Macedonia","41.6086","21.7453"
"Norway","60.472","8.4689"
"Oman","21.512583","55.92325500000001"
"Pakistan","30.33084","71.247499"
"Palestine","31.512868","34.458136"
"Palau","7.515","134.5825"
"Panama","8.538","-80.7821"
"Papua New Guinea","-6.314993","143.95555"
"Paraguay","-23.4425","-58.4438"
"Peru","-6.86997","-75.045851"
"Philippines","12.879721","121.774017"
"Poland","51.9194","19.1451"
"Portugal","39.3999","-8.2245"
"Qatar","25.3548","51.1839"
"Romania","45.9432","24.9668"
"Russia","64.686314","97.745306"
"Rwanda","-1.9403","29.8739"
"Saint Kitts and Nevis","17.357822","-62.782998"
"Saint Lucia","13.9094","-60.9789"
"Saint Vincent and the Grenadines","12.9843","-61.2872"
"Samoa","-13.759","-172.1046"
"San Marino","43.9424","12.4578"
"Sao Tome and Principe","0.1864","6.6131"
